ID,Sent,Ground Truth Query
0,the beams with reference level to be roof .,"SELECT ?beam2_0 ?referencelevel4_0 ?roof8_0 WHERE{  ?beam2_0 a ifcowl:IfcBeam . ?referencelevel4_0 bimnlq:getpropertystringvalue roof8_0  .FILTER (?roof8_0=\""roof\"") . ?referencelevel4_0 a ifcowl:IfcProperty . ?referencelevel4_0 ifcowl:name_IfcProperty/expr:hasString  \""Reference Level\"" .}"
1,The columns with length larger than 20m. ,"SELECT ?column2_0 ?length4_0 WHERE{   ?length4_0 bimnlq:getquantitydoublevalue ?length4_0value  .FILTER ( ?length4_0value>20.0) . ?length4_0 a ifcowl:IfcPhysicalQuantity . ?length4_0 ifcowl:name_IfcPhysicalQuantity/expr:hasString ""Length"" . ?column2_0 schm:hasQuantity ?length4_0  . ?column2_0 a ifcowl:IfcColumn .}"
2,Return the level that has Study  ,"SELECT ?level3_0 ?study6_0 WHERE{   ?level3_0 schm:hasSpatialDecomposition ?tempofstudy6_0  . ?level3_0 a ifcowl:IfcBuildingStorey . ?tempofstudy6_0 ifcowl:longName_IfcSpatialStructureElement ?study6_0 . ?study6_0 a ifcowl:IfcLabel . ?study6_0 expr:hasString \""study\"" . }"
3, Find all the doors with widths equaling to 0.915 meter at 5/F ,"SELECT ?door4_0 ?width6_0 ?variable12_0 WHERE{   ?variable12_0 a ifcowl:IfcBuildingStorey .?variable12_0 ifcowl:name_IfcRoot/expr:hasString ""5/F""  . ?door4_0 schm:isContainedIn ?variable12_0  . ?door4_0 a ifcowl:IfcDoor . ?door4_0 schm:hasQuantity ?width6_0  . ?width6_0 bimnlq:getquantitydoublevalue ?width6_0value  .FILTER ( ?width6_0value=0.915) . ?width6_0 a ifcowl:IfcPhysicalQuantity . ?width6_0 ifcowl:name_IfcPhysicalQuantity/expr:hasString ""Width"" .}"
4,Find the storey that contains the beam 1301059.  ,"SELECT ?storey3_0 ?beam7_0 ?13010598_0 WHERE{   ?storey3_0 a ifcowl:IfcBuildingStorey . ?storey3_0 schm:hasContainedProduct ?beam7_0  . ?13010598_0 a ifcowl:IfcIdentifier . ?13010598_0 expr:hasString ""1301059"" . ?beam7_0 ifcowl:tag_IfcElement ?13010598_0  . ?beam7_0 a ifcowl:IfcBeam .}"
5,The wall with the unconnected height no more than 10.00,"SELECT ?wall2_0 ?unconnectedheight5_0 WHERE{   ?wall2_0 a ifcowl:IfcWall . ?wall2_0 schm:hasProperty ?unconnectedheight5_0  . ?unconnectedheight5_0 bimnlq:getpropertydoublevalue ?unconnectedheight5_0value  .FILTER ( ?unconnectedheight5_0value<=10.0) . ?unconnectedheight5_0 a ifcowl:IfcProperty . ?unconnectedheight5_0 ifcowl:name_IfcProperty/expr:hasString  ""Unconnected Height"" .}"
6,Get all ceilings with TotalThickness equal to 0.052.  ,"SELECT ?ceiling3_0 ?totalthickness5_0 WHERE{  BIND ( ifcowl:CEILING AS ?ceiling3_0 ) . ?ceiling3_0 bimnlq:istypeenumof ?tempofceiling3_0  . ?totalthickness5_0 bimnlq:getpropertydoublevalue ?totalthickness5_0value  .FILTER ( ?totalthickness5_0value=0.052) . ?totalthickness5_0 a ifcowl:IfcProperty . ?totalthickness5_0 ifcowl:name_IfcProperty/expr:hasString  ""TotalThickness"" . ?tempofceiling3_0 schm:hasProperty ?totalthickness5_0  .}"
7,Find spaces located at the level whose elevation is higher than elevation of Level 2  .  ,"SELECT ?space2_0 ?level6_0 ?variable14_0 ?elevation8_0 ?elevation12_0 WHERE{   ?variable14_0 a ifcowl:IfcBuildingStorey .?variable14_0 ifcowl:name_IfcRoot/expr:hasString ""Level 2""  . ?elevation12_0 bimnlq:ispropertyof ?variable14_0  . ?elevation12_0 a ifcowl:IfcProperty . ?elevation12_0 ifcowl:name_IfcProperty/expr:hasString  ""Elevation"" . ?elevation8_0 bimnlq:largerthan_property ?elevation12_0  . ?space2_0 a ifcowl:IfcSpace . ?space2_0 bimnlq:hasspatialcomposition ?level6_0  . ?elevation8_0 a ifcowl:IfcProperty . ?elevation8_0 ifcowl:name_IfcProperty/expr:hasString  ""Elevation"" . ?level6_0 schm:hasProperty ?elevation8_0  . ?level6_0 a ifcowl:IfcBuildingStorey .}"
8, Find the walls with elevation to project zero more than elevation of Level 1 and less than elevation of Level 2 ,"SELECT ?wall3_0 ?variable20_0 ?variable13_0 ?elevation5_0 ?elevation11_0 ?elevation18_0 WHERE{   ?elevation11_0 a ifcowl:IfcProperty . ?elevation11_0 ifcowl:name_IfcProperty/expr:hasString  ""Elevation"" . ?elevation11_0 bimnlq:ispropertyof ?variable13_0  . ?elevation11_0 bimnlq:lessthan_property ?elevation18_0  . ?variable20_0 a ifcowl:IfcBuildingStorey .?variable20_0 ifcowl:name_IfcRoot/expr:hasString ""Level 2""  . ?elevation18_0 bimnlq:ispropertyof ?variable20_0  .  ?wall3_0 a ifcowl:IfcWall . ?wall3_0 schm:hasProperty ?elevation5_0  . ?elevation5_0 a ifcowl:IfcProperty . ?elevation5_0 ifcowl:name_IfcProperty/expr:hasString  ""Elevation"" . ?elevation18_0 a ifcowl:IfcProperty . ?elevation18_0 ifcowl:name_IfcProperty/expr:hasString  ""Elevation"" . ?variable13_0 a ifcowl:IfcBuildingStorey .?variable13_0 ifcowl:name_IfcRoot/expr:hasString ""Level 1""  .}"
9,Is there any window whose area is larger than 2 squaremeter ,"SELECT ?window4_0 ?area6_0 WHERE{   ?window4_0 a ifcowl:IfcWindow . ?window4_0 schm:hasProperty ?area6_0  .?area6_0 bimnlq:getpropertydoublevalue ?area6_0value  .FILTER ( ?area6_0value>2.0) . } ?area6_0 a ifcowl:IfcProperty . ?area6_0 ifcowl:name_IfcProperty/expr:hasString  ""Area"" .}"
